代码             信号日          入场日             评分     信号涨幅     次日开仓      +1日      +5日     +10日     +20日
--------------------------------------------------------------------------------------------------------------
  002192.SZ  |  评分区间 53~65  |  均值 59.0  |  严苛信号 3次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260327      趋势确认    53  +10.00%  -4.62%  +8.29%   91.1  1.52
  20260330      趋势确认    59   +5.10%  -8.46% +20.73%   92.6  1.91
  20260413      趋势确认    65   +7.04% +16.40% +18.21%   75.3  1.41
  → +1日 均值= -8.50% 胜率=  0.0% 最大= -2.91% 最小=-14.12%
  → +5日 均值= -7.76% 胜率= 33.3% 最大= +4.04% 最小=-14.48%
  → +10日 均值= +1.11% 胜率= 33.3% 最大=+16.40% 最小= -8.46%
  → +20日 均值=+15.74% 胜率=100.0% 最大=+20.73% 最小= +8.29%

============================================================
  301099.SZ  |  评分区间 51~51  |  均值 51.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260617      趋势确认    51   +4.50%  -0.04%  -0.04%   75.2  1.73

============================================================
  002281.SZ  |  评分区间 51~51  |  均值 51.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260403      趋势确认    51   +7.74% +32.38% +96.43%   63.3  1.78

============================================================
  002202.SZ  |  评分区间 53~53  |  均值 53.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260225      趋势确认    53   +4.52% +15.89%  +4.19%   63.9  1.78

============================================================
  300489.SZ  |  评分区间 63~63  |  均值 63.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260410      趋势确认    63  +10.37% +45.71% +83.06%   95.3  2.79

============================================================
  002979.SZ  |  评分区间 57~57  |  均值 57.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260617      趋势确认    57   +5.68%  -7.39%  -7.39%   65.3  1.40

============================================================
  601869.SH  |  评分区间 54~66  |  均值 60.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260325      趋势确认    66  +10.00% +48.73% +42.45%   72.6  1.37
  20260623      趋势确认    54  +10.00%  -2.72%  -2.72%   86.6  1.71
  → +1日 均值= +4.56% 胜率=100.0% 最大= +6.12% 最小= +3.01%
  → +5日 均值=+12.96% 胜率= 50.0% 最大=+28.65% 最小= -2.72%
  → +10日 均值=+23.00% 胜率= 50.0% 最大=+48.73% 最小= -2.72%
  → +20日 均值=+19.87% 胜率= 50.0% 最大=+42.45% 最小= -2.72%

============================================================
  600961.SH  |  评分区间 47~59  |  均值 54.6  |  严苛信号 5次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260225      趋势确认    56   +5.18%  -6.32% -26.75%   64.8  1.60
  20260227      趋势确认    59   +7.63% -22.76% -30.21%   77.1  1.56
  20260302      趋势确认    55   +9.06% -22.68% -30.44%   84.9  2.12
  20260623      趋势确认    47   +4.42%  +5.67%  +5.67%   87.4  1.99
  20260624      趋势确认    56   +7.89%  +0.12%  +0.12%   90.9  1.57
  → +1日 均值= -0.01% 胜率= 60.0% 最大= +7.86% 最小= -7.28%
  → +5日 均值= -3.29% 胜率= 40.0% 最大= +5.67% 最小=-11.34%
  → +10日 均值= -9.19% 胜率= 40.0% 最大= +5.67% 最小=-22.76%
  → +20日 均值=-16.32% 胜率= 40.0% 最大= +5.67% 最小=-30.44%

============================================================
  688205.SH  |  评分区间 61~61  |  均值 61.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260302      趋势确认    61  +13.28% -15.65%  -4.17%   63.2  2.05
  20260310      趋势确认    61  +13.89%  +5.82% +32.98%   57.7  1.45
  → +1日 均值= -2.36% 胜率= 50.0% 最大= +1.57% 最小= -6.30%
  → +5日 均值= -5.29% 胜率=  0.0% 最大= -4.86% 最小= -5.73%
  → +10日 均值= -4.92% 胜率= 50.0% 最大= +5.82% 最小=-15.65%
  → +20日 均值=+14.40% 胜率= 50.0% 最大=+32.98% 最小= -4.17%

============================================================
  300715.SZ  |  评分区间 61~61  |  均值 61.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260520      趋势确认    61  +15.42% +38.50%  -4.76%   78.1  1.58
  20260521      趋势确认    61   +6.55% +22.83%  -6.45%   82.3  1.36
  → +1日 均值= +4.65% 胜率=100.0% 最大= +5.15% 最小= +4.15%
  → +5日 均值= +7.28% 胜率=100.0% 最大=+11.62% 最小= +2.94%
  → +10日 均值=+30.66% 胜率=100.0% 最大=+38.50% 最小=+22.83%
  → +20日 均值= -5.61% 胜率=  0.0% 最大= -4.76% 最小= -6.45%

============================================================
  688362.SH  |  评分区间 71~71  |  均值 71.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260526      趋势确认    71  +11.87% -17.84%  +8.76%   89.2  2.13

============================================================
  300672.SZ  |  评分区间 49~59  |  均值 54.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260209      趋势确认    59   +9.39%  -5.02% +35.28%   62.1  1.61
  20260226      趋势确认    49   +6.35%  +5.78% +11.84%   74.3  1.87
  → +1日 均值= -0.75% 胜率= 50.0% 最大= +3.88% 最小= -5.39%
  → +5日 均值= -4.40% 胜率=  0.0% 最大= -1.03% 最小= -7.77%
  → +10日 均值= +0.38% 胜率= 50.0% 最大= +5.78% 最小= -5.02%
  → +20日 均值=+23.56% 胜率=100.0% 最大=+35.28% 最小=+11.84%

============================================================
  000066.SZ  |  评分区间 65~65  |  均值 65.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260507      趋势确认    65  +10.00% -11.98% -28.30%   98.0  1.70

============================================================
  605060.SH  |  评分区间 60~60  |  均值 60.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
