================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 22:20
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 191 只股票
累计交易日: 22906 天
严苛信号数: 635 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
300806.SZ      20260311     20260312         7   +5.18%    57.14    -8.24%   -12.62%   -22.16%   -13.63%
300806.SZ      20260408     20260409         9   +7.57%    48.80    +1.13%   +11.45%   +37.54%   +76.09%
300806.SZ      20260414     20260415         6   +4.38%    52.58    +3.44%   +32.18%   +39.96%   +59.74%
300806.SZ      20260416     20260417         6   +4.70%    55.63   +22.92%   +23.28%   +43.74%   +54.41%
300806.SZ      20260417     20260420        22  +20.00%    65.27    +6.31%    +8.17%   +27.21%   +27.15%
300806.SZ      20260420     20260421         6   +4.76%    67.90    +2.36%    +6.05%   +25.18%   +31.94%
300806.SZ      20260609     20260610        14  +12.83%    83.44    +2.95%   +17.93%   +41.28%   +38.52%
300806.SZ      20260616     20260617        11   +9.80%    93.61    +8.43%   +25.93%   +23.47%   +23.47%
600186.SH      20260415     20260416         7   +5.05%     7.54    +4.64%   +25.33%   +42.18%   +53.32%
600186.SH      20260416     20260417         7   +5.85%     8.02    -1.87%   +13.97%   +42.14%   +37.53%
600186.SH      20260609     20260610        12  +10.01%    11.15   +13.27%   +31.48%   +39.91%   +28.25%
300548.SZ      20260311     20260312         9   +6.85%   162.67    -2.35%   -11.75%    -8.54%   +37.58%
300548.SZ      20260330     20260331         7   +5.71%   156.03    +2.18%   +32.28%   +51.77%   +58.62%
300548.SZ      20260407     20260408        11   +9.64%   190.00   +22.03%   +24.63%   +46.98%   +45.09%
300548.SZ      20260408     20260409        15  +13.96%   200.11   +11.84%   +20.56%   +35.41%   +35.83%
300548.SZ      20260615     20260616        22  +20.00%   286.77    -5.89%    -1.58%    -8.41%    -8.41%
300548.SZ      20260616     20260617         7   +5.38%   280.01    +0.71%    +0.67%    -6.20%    -6.20%
002354.SZ      20260210     20260211         6   +4.50%     7.65    -4.31%   -13.20%   -18.56%   -21.31%
002354.SZ      20260430     20260506         9   +4.20%     6.22    +3.05%    +5.14%   +12.06%    -0.64%
002354.SZ      20260518     20260519        12   +9.94%     7.01    -0.57%    +2.00%    -4.42%    +3.57%
002354.SZ      20260609     20260610        13   +9.96%     8.28    -3.62%   -15.10%    -3.02%    +6.64%
002354.SZ      20260610     20260611        12  +10.05%     8.75   -14.06%   -11.66%    +0.91%    +0.91%
600487.SH      20260420     20260421        11   +9.42%    59.50   +10.55%   +14.77%   +29.87%   +22.77%
600487.SH      20260529     20260601        12   +9.42%    75.24   +10.47%   +26.89%   +31.95%   +47.28%
600487.SH      20260604     20260605         8   +7.04%    96.00    -0.55%    +1.04%   +25.14%   +15.43%
688017.SH      20260605     20260608        22  +20.00%   375.54   +11.88%    -0.78%    +0.80%    -1.62%
688017.SH      20260608     20260609        11   +8.97%   413.00    +2.66%    -8.91%    -7.22%   -10.54%
688108.SH      20260401     20260402        10   +7.42%    21.57    -2.27%    +1.58%    -0.60%    +0.97%
002192.SZ      20260326     20260327        12  +10.01%    73.33   +11.80%    -2.78%    +6.80%   +23.31%
002192.SZ      20260327     20260330        12  +10.00%    83.35    -8.48%   -14.48%    -4.62%    +8.29%
002192.SZ      20260330     20260331         7   +5.10%    82.24   -14.12%   -12.84%    -8.46%   +20.73%
002192.SZ      20260413     20260414         8   +7.04%    77.54    -2.91%    +4.04%   +16.40%   +18.21%
